Fila,UPZ_Original,Zona_Original,Zona_Correcta,Error
627,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
628,32 - SAN BLAS,Zona 6,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
634,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
647,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
651,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
654,32 - SAN BLAS,Zona 6,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
655,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
658,32 - SAN BLAS,Zona 6,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
662,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
671,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
680,33 - SOSIEGO,Zona 4,Zona 6,CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
684,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
687,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
688,32 - SAN BLAS,Zona 6,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
690,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
693,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
699,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
711,33 - SOSIEGO,Zona 4,Zona 6,CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
715,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
718,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
721,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
727,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
734,34 - 20 DE JULIO,Zona 8,Zona 4,CONFLICTO: Zona 'Zona 8' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
735,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
739,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
740,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
742,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
